alert_id,timestamp,day,source,severity,title,suppressed,confidence,trust_score,C,B,H,E,trust_decision,gated,actions,rule_evaluation_latency_ms
7c9a6e65-7a5e-4b7f-93e2-e43019daaf3c,2026-01-15T09:05:16.000Z,1,newrelic,P4,"Synthetic monitor failure: checkout-flow",true,,,,,,,suppressed_by_rule,false,"",4
e67f01d5-0c45-4e80-bb67-51f932995b8d,2026-01-15T10:52:07.000Z,1,splunk,noise,"Scheduled search failure",false,0.814,0.8219,0.814,0.548,0.931,1,conditional,false,"",11
04048b0d-dca2-43d2-a2be-97f63c9e2ee0,2026-01-15T08:11:37.000Z,1,aws-cloudwatch,P3,"RDS connection count spike on primary-db",false,0.831,0.7816,0.831,0.571,0.722,1,conditional,false,"create_incident",3
65df1a49-5dcf-4413-a9bb-e6833e642c7e,2026-01-15T20:44:39.000Z,1,datadog,noise,"Database query latency p99 exceeds SLA",false,0.935,0.9032,0.935,0.618,0.972,1,auto_execute,false,"",12
42b95063-0ea8-4736-99fc-a1a3458f423b,2026-01-15T15:58:02.000Z,1,newrelic,P2,"Transaction error rate elevated on /api/orders",true,,,,,,,suppressed_by_rule,false,"",5
e9766ca3-ea9d-430b-a634-7bafd6abca7b,2026-01-15T15:31:40.000Z,1,splunk,P3,"Forwarder connectivity loss on prod-app-3",true,,,,,,,suppressed_by_rule,false,"",4
6340449a-ee52-426e-bb33-3d2dfd7583d0,2026-01-15T14:44:43.000Z,1,aws-cloudwatch,P4,"Route53 health check failing",true,,,,,,,suppressed_by_rule,false,"",5
84610f6c-742c-48d7-a650-b6ed78fa31c0,2026-01-15T23:08:51.000Z,1,datadog,P3,"Database query latency p99 exceeds SLA",true,,,,,,,suppressed_by_rule,false,"",2
e49829bf-c755-4875-b6d2-33167c96f31f,2026-01-15T22:19:20.000Z,1,newrelic,P4,"Browser JS error rate spike",false,0.578,0.7243,0.578,0.719,0.91,1,conditional,false,"",7
5473cfe3-90c3-4873-bb08-c469cc08398a,2026-01-15T20:11:15.000Z,1,splunk,P3,"Correlation: multi-source outage pattern",false,0.776,0.7865,0.776,0.572,0.851,1,conditional,false,"create_incident",15
b162ae77-cd4d-4aac-85a9-8540df3a4c14,2026-01-15T00:48:06.000Z,1,aws-cloudwatch,P4,"RDS connection count spike on primary-db",false,1,0.8712,1,0.616,0.795,0.8,human_review_anomaly,true,"",10
b5326c20-8642-44a7-91fa-1f25d0f15cd3,2026-01-15T22:48:02.000Z,1,datadog,P2,"Network packet loss on prod-vpc",true,,,,,,,suppressed_by_rule,false,"",4
e6975d20-6e0c-4616-a81e-a681de8b1a0d,2026-01-15T15:45:51.000Z,1,newrelic,P3,"Mobile crash rate increase on iOS app",false,0.927,0.9093,0.927,1,0.783,1,auto_execute,false,"create_incident",4
8be04a32-2d2f-436c-8246-96782aa1d6c6,2026-01-15T11:51:51.000Z,1,splunk,P4,"Index volume spike detected",true,,,,,,,suppressed_by_rule,false,"",2
8c0a7ec9-1e9c-4985-b2eb-11c55580a943,2026-01-15T18:17:53.000Z,1,aws-cloudwatch,noise,"S3 bucket access denied anomaly",false,0.597,0.7107,0.597,0.651,0.858,1,conditional,false,"",9
1a40c0f7-e9d5-4984-9550-f027c4dbc94b,2026-01-15T20:17:05.000Z,1,datadog,P4,"Custom metric threshold: cart-abandonment-rate",false,0.908,0.8757,0.908,0.665,0.888,1,conditional,false,"",8
798d7e2b-ed01-42fa-aad7-cc79ae869f37,2026-01-15T08:06:35.000Z,1,newrelic,P3,"Distributed trace anomaly detected",false,1,0.9203,1,0.707,0.857,1,human_review_anomaly,true,"create_incident (pending_review)",9
ddd7ab1e-51e9-4db5-80b3-40ee744db9e7,2026-01-15T04:10:57.000Z,1,splunk,P4,"Notable event: data exfiltration pattern",false,0.861,0.7895,0.861,0.657,0.722,0.8,conditional,false,"",10
d1365444-29b1-404a-a6fc-3dae33b8d20c,2026-01-15T11:26:08.000Z,1,aws-cloudwatch,P2,"RDS connection count spike on primary-db",false,0.988,0.9549,0.988,0.901,0.903,1,auto_execute,false,"create_incident;page_oncall",9
fffe3b2e-a29e-46e2-ba8c-3abf3f43acdd,2026-01-15T10:45:45.000Z,1,datadog,noise,"Memory usage critical on k8s node prod-worker-11",false,0.734,0.7715,0.734,0.612,0.851,1,conditional,false,"",7
c82a2a91-1b81-41bc-a07d-a2954fb4692d,2026-01-15T06:09:55.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",false,0.502,0.6606,0.502,0.636,0.857,1,human_review,true,"create_incident (pending_review)",3
2d5b3076-f151-45fb-aa88-79df2e7e89b3,2026-01-15T01:54:45.000Z,1,splunk,P3,"Log ingestion delay exceeding 5 minutes",false,0.745,0.7882,0.745,0.818,0.852,0.8,conditional,false,"create_incident",11
4b95b0e9-9408-4e41-9c44-fc63283f2d40,2026-01-15T14:42:39.000Z,1,aws-cloudwatch,P3,"SQS dead-letter queue depth increasing",false,0.888,0.8592,0.888,0.783,0.791,1,conditional,false,"create_incident",18
9b353dcf-6e36-4016-9aeb-118ff376487b,2026-01-15T08:56:19.000Z,1,datadog,P2,"Disk IOPS saturated on data-warehouse",false,0.761,0.7598,0.761,0.72,0.685,1,conditional,false,"create_incident;page_oncall",15
ce333fc6-4a29-448b-ab9a-d3e28250ba55,2026-01-15T10:13:08.000Z,1,newrelic,P2,"Key transaction SLA violation",false,0.762,0.793,0.762,0.807,0.764,1,conditional,false,"create_incident;page_oncall",11
11726d13-4505-4e1f-ad35-b97635cbb892,2026-01-15T13:35:47.000Z,1,splunk,P4,"Log ingestion delay exceeding 5 minutes",false,0.716,0.7765,0.716,0.74,0.83,1,conditional,false,"",4
7e52fb81-50e0-4e36-8103-a36da935b2eb,2026-01-15T02:10:42.000Z,1,aws-cloudwatch,P3,"Route53 health check failing",false,0.888,0.853,0.888,0.723,0.882,0.8,conditional,false,"create_incident",9
a94bffdf-fc87-4165-acbc-829ccc2e20f2,2026-01-15T16:35:44.000Z,1,datadog,P4,"Network packet loss on prod-vpc",true,,,,,,,suppressed_by_rule,false,"",5
5610193a-004f-447f-a2d3-f9c26a73bc1a,2026-01-15T16:27:48.000Z,1,newrelic,P2,"Mobile crash rate increase on iOS app",false,0.584,0.7339,0.584,0.881,0.839,1,conditional,true,"create_incident (gated);page_oncall (gated)",13
494cb336-54e9-4fa1-8393-038bb1a2cc03,2026-01-15T05:49:13.000Z,1,splunk,P4,"Alert: unauthorized access attempt",false,0.741,0.754,0.741,0.79,0.74,0.8,conditional,false,"",13
e3af147b-b18e-42d1-a7f9-f9d6008d9c60,2026-01-15T00:33:18.000Z,1,aws-cloudwatch,P1,"RDS connection count spike on primary-db",false,0.728,0.7718,0.728,0.779,0.844,0.8,conditional,true,"create_incident (gated);declare_mim (gated);page_oncall (gated)",4
c93e9b8c-9047-49dd-b888-618c09788aa5,2026-01-15T04:07:04.000Z,1,datadog,noise,"Disk IOPS saturated on data-warehouse",false,0.785,0.8268,0.785,0.877,0.891,0.8,conditional,false,"",10
8ea22dfd-9dce-4af3-bdfb-8fe470c60942,2026-01-15T17:29:54.000Z,1,newrelic,P1,"Distributed trace anomaly detected",false,0.955,0.9355,0.955,0.9,0.892,1,auto_execute,false,"create_incident;declare_mim;page_oncall",18
d01adb36-fd71-46e1-a6fe-39beb58e9bb6,2026-01-15T22:28:52.000Z,1,splunk,P3,"Correlation search: suspicious API activity",false,0.68,0.7488,0.68,0.792,0.76,1,conditional,false,"create_incident",15
6123c4e1-50aa-4c20-9213-feea113de880,2026-01-15T03:04:06.000Z,1,aws-cloudwatch,noise,"S3 bucket access denied anomaly",false,0.782,0.8425,0.782,0.81,1,0.8,conditional,false,"",3
a4cf7aad-5e53-43ce-9b0c-fceb9bf602f4,2026-01-15T00:17:23.000Z,1,datadog,P3,"APM trace error spike on payment-processor",false,0.804,0.8373,0.804,0.92,0.869,0.8,conditional,false,"create_incident",3
86d5131b-36d0-4cc7-8621-345cb201fafb,2026-01-15T11:59:04.000Z,1,newrelic,P2,"Apdex score below threshold on web-frontend",false,0.809,0.8279,0.809,0.678,0.887,1,conditional,false,"create_incident;page_oncall",5
379a2899-b137-48f8-b704-940263337578,2026-01-15T01:41:48.000Z,1,splunk,noise,"Correlation: multi-source outage pattern",false,0.746,0.7606,0.746,0.789,0.757,0.8,conditional,false,"",13
53382a9c-701a-4e2b-a594-3f757b65c01a,2026-01-15T19:17:06.000Z,1,aws-cloudwatch,P4,"ECS task stopped unexpectedly",true,,,,,,,suppressed_by_rule,false,"",2
27e9563c-6c11-4aa3-9c9e-d812511c5f16,2026-01-15T20:42:30.000Z,1,datadog,P4,"Anomaly detected: request rate drop on checkout-service",false,0.886,0.8507,0.886,0.796,0.753,1,conditional,false,"",9
cf260542-12a6-45b3-ac9e-dd427da5fa5d,2026-01-15T00:44:05.000Z,1,newrelic,noise,"Browser JS error rate spike",false,0.932,0.8994,0.932,0.924,0.859,0.8,conditional,false,"",12
cd5b0eb4-5e08-4ce2-b583-58b4e9bbc17f,2026-01-15T23:06:47.000Z,1,splunk,noise,"Log ingestion delay exceeding 5 minutes",false,0.791,0.8286,0.791,0.782,0.943,0.8,conditional,false,"",5
285ef4d9-f1fa-40dc-9c79-0b6a6ce5a6e2,2026-01-15T21:54:48.000Z,1,aws-cloudwatch,P3,"ECS task stopped unexpectedly",false,1,0.9543,1,0.774,0.953,1,human_review_anomaly,true,"create_incident (pending_review)",13
50405f93-4db2-4166-ae25-020f33cf6611,2026-01-15T18:04:48.000Z,1,datadog,noise,"Network packet loss on prod-vpc",false,0.79,0.7952,0.79,0.64,0.817,1,conditional,false,"",5
7a97531c-3a39-4f4a-b618-ebc2ba4037aa,2026-01-15T04:02:17.000Z,1,newrelic,P4,"Infrastructure host not reporting",false,1,0.8839,1,0.524,0.901,0.8,human_review_anomaly,true,"",4
5c37f1e9-04dd-4241-9562-23bfe83a6e17,2026-01-15T06:25:12.000Z,1,splunk,P4,"Notable event: data exfiltration pattern",false,0.934,0.9437,0.934,0.845,1,1,auto_execute,false,"",5
c2c9c912-e141-4c10-a5b4-0ab14bd62ebb,2026-01-15T02:36:04.000Z,1,aws-cloudwatch,noise,"Lambda function error rate above threshold",false,0.991,0.8696,0.991,0.664,0.778,0.8,conditional,false,"",9
dc72804a-da8e-49dc-9313-d1bc6e407853,2026-01-15T15:05:50.000Z,1,datadog,P2,"Custom metric threshold: cart-abandonment-rate",false,0.889,0.9038,0.889,0.817,0.947,1,auto_execute,false,"create_incident;page_oncall",16
6b1cc114-bdde-47a8-9b79-49f82598d9e5,2026-01-15T00:45:54.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",true,,,,,,,suppressed_by_rule,false,"",2
fd0dc9cf-f56b-4c89-8788-4071089fb935,2026-01-15T04:05:47.000Z,1,splunk,P3,"Search head cluster replication lag",false,0.987,0.9578,0.987,1,0.937,0.8,auto_execute,false,"create_incident",16
22e44fae-224c-4674-a137-7ef214f1e846,2026-01-15T20:46:16.000Z,1,aws-cloudwatch,P3,"ELB 5xx error rate elevated",false,1,0.8947,1,0.855,0.666,1,human_review_anomaly,true,"create_incident (pending_review)",4
2e1fc425-7d43-4743-861d-48b998618df7,2026-01-15T01:16:34.000Z,1,datadog,P3,"APM trace error spike on payment-processor",false,0.657,0.6725,0.657,0.54,0.732,0.8,human_review,true,"create_incident (pending_review)",6
23011f07-d82d-48fb-8f50-5c9254bdccc5,2026-01-15T23:36:16.000Z,1,newrelic,P4,"NRQL alert: slow database queries",true,,,,,,,suppressed_by_rule,false,"",1
1031c62b-d1ba-472e-b4d3-cd5af0d4fcbf,2026-01-15T04:17:32.000Z,1,splunk,P4,"Security: failed login attempts exceed threshold",false,0.686,0.7513,0.686,0.749,0.904,0.7,conditional,false,"",13
472b7cbf-4bf3-4ae2-8283-d9f8ac76f18e,2026-01-15T08:08:59.000Z,1,aws-cloudwatch,P2,"EC2 CPU utilization exceeds 95% on prod-web-9",false,0.783,0.7666,0.783,0.664,0.702,1,conditional,false,"create_incident;page_oncall",3
0be42b83-68ff-41f3-9a1e-99fb863ffcaf,2026-01-15T04:10:34.000Z,1,datadog,P3,"Anomaly detected: request rate drop on checkout-service",false,0.965,0.8786,0.965,0.581,0.916,0.8,conditional,false,"create_incident",8
36d83216-1503-4ecb-b9b0-f72fb46561aa,2026-01-15T01:45:09.000Z,1,newrelic,P3,"Mobile crash rate increase on iOS app",false,0.856,0.8426,0.856,0.814,0.85,0.8,conditional,false,"create_incident",15
ac2c6989-6359-4f86-b61e-5097199e4fea,2026-01-15T10:33:46.000Z,1,splunk,P3,"Security: failed login attempts exceed threshold",false,0.838,0.8621,0.838,0.794,0.896,1,conditional,false,"create_incident",12
927a143b-fd43-46ad-b740-6af735943018,2026-01-15T00:12:21.000Z,1,aws-cloudwatch,P4,"SQS dead-letter queue depth increasing",false,0.737,0.7395,0.737,0.652,0.773,0.8,conditional,false,"",17
2b785a6d-7436-49a8-bc7a-0e865011953e,2026-01-15T19:47:33.000Z,1,datadog,P3,"High latency detected on api-gateway service",false,0.893,0.8636,0.893,0.852,0.757,1,conditional,false,"create_incident",4
18a0a666-548c-4dd0-b09b-bf8fa6179b91,2026-01-15T12:32:01.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",false,0.891,0.8657,0.891,0.655,0.888,1,conditional,false,"create_incident",6
e421a157-9cac-46b4-b42d-ba4fcb8de8e5,2026-01-15T16:04:21.000Z,1,splunk,P3,"Log ingestion delay exceeding 5 minutes",false,0.916,0.8924,0.916,0.796,0.86,1,conditional,false,"create_incident",18
5d5917d4-aabf-48f5-bfb5-730f07fadc83,2026-01-15T20:38:12.000Z,1,aws-cloudwatch,P4,"EC2 CPU utilization exceeds 95% on prod-web-6",false,1,0.8771,1,0.666,0.709,1,human_review_anomaly,true,"",7
99e09907-fb31-4ecf-a915-916f9c5a5960,2026-01-15T05:09:29.000Z,1,datadog,noise,"Disk IOPS saturated on data-warehouse",false,0.837,0.8243,0.837,0.779,0.836,0.8,conditional,false,"",16
1d693fda-fa9e-4b17-8dc4-905a7ad6a3e6,2026-01-15T16:07:26.000Z,1,newrelic,noise,"Transaction error rate elevated on /api/orders",true,,,,,,,suppressed_by_rule,false,"",5
3065dce0-7525-40c9-af75-f7fd8df5d953,2026-01-15T20:58:38.000Z,1,splunk,P4,"Alert: unauthorized access attempt",false,0.888,0.9249,0.888,0.873,1,1,auto_execute,false,"",10
83230205-3aa6-4896-ab10-5e3622b2f4af,2026-01-15T09:43:26.000Z,1,aws-cloudwatch,P4,"SQS dead-letter queue depth increasing",true,,,,,,,suppressed_by_rule,false,"",4
fd549964-d57a-4f43-8dd2-e442a60dbcf2,2026-01-15T20:16:39.000Z,1,datadog,P4,"Memory usage critical on k8s node prod-worker-1",true,,,,,,,suppressed_by_rule,false,"",2
aefde678-bfe3-48e4-8293-e87765df12d4,2026-01-15T08:08:17.000Z,1,newrelic,P3,"Synthetic monitor failure: checkout-flow",false,0.833,0.8684,0.833,0.821,0.915,1,conditional,false,"create_incident",6
dcb89590-7b9c-4f3b-b921-1f5a48774578,2026-01-15T06:14:02.000Z,1,splunk,noise,"Scheduled search failure",false,0.821,0.8388,0.821,0.522,1,1,conditional,false,"",16
b818c8b3-6b0b-4e79-9ed7-735ad1b72aaa,2026-01-15T15:12:03.000Z,1,aws-cloudwatch,noise,"EC2 CPU utilization exceeds 95% on prod-web-5",false,0.729,0.695,0.729,0.55,0.592,1,human_review,true,"",12
66dfa58b-4d82-4749-a854-7b3fc98785e5,2026-01-15T05:58:59.000Z,1,datadog,P4,"Log volume anomaly on auth-service",false,0.978,0.8755,0.978,0.728,0.789,0.8,conditional,false,"",10
9262a403-fcc1-4107-a8ee-b54513b39093,2026-01-15T20:16:06.000Z,1,newrelic,P4,"Distributed trace anomaly detected",false,1,0.9437,1,0.905,0.832,1,human_review_anomaly,true,"",8
9999b73c-b70b-460d-b709-e12176264b9b,2026-01-15T10:26:39.000Z,1,splunk,P2,"Notable event: data exfiltration pattern",false,0.836,0.8449,0.836,0.701,0.887,1,conditional,false,"create_incident;page_oncall",13
148d2366-5382-4c1d-ad5d-b2bc95e859a2,2026-01-15T03:10:08.000Z,1,aws-cloudwatch,P3,"EC2 CPU utilization exceeds 95% on prod-web-10",false,0.854,0.8515,0.854,0.83,0.88,0.8,conditional,false,"create_incident",12
f73c5c96-0152-41fb-aad0-76b4ea373045,2026-01-15T07:41:19.000Z,1,datadog,P3,"Anomaly detected: request rate drop on checkout-service",false,0.718,0.7949,0.718,0.593,0.988,1,conditional,false,"create_incident",16
435b32e5-b5e5-45fc-805a-e3eab3289a40,2026-01-15T14:13:44.000Z,1,newrelic,noise,"Distributed trace anomaly detected",false,0.83,0.8382,0.83,0.675,0.888,1,conditional,false,"",6
f230fc3c-7106-4f79-8b18-e6cf896cdfdd,2026-01-15T21:22:00.000Z,1,splunk,P4,"Search head cluster replication lag",true,,,,,,,suppressed_by_rule,false,"",3
cbf5cd28-dcd0-4c2f-ae2d-6dedf00ace79,2026-01-15T07:05:33.000Z,1,aws-cloudwatch,P3,"SQS dead-letter queue depth increasing",false,0.764,0.7163,0.764,0.344,0.731,1,conditional,true,"create_incident (gated)",7
85a4229b-4068-4731-974d-1eb37c4d714b,2026-01-15T08:37:03.000Z,1,datadog,P3,"Network packet loss on prod-vpc",false,0.783,0.7883,0.783,0.707,0.763,1,conditional,false,"create_incident",10
6faeb5dc-7f24-4ccd-bd84-3a1805f4ae0f,2026-01-15T22:29:40.000Z,1,newrelic,P4,"Browser JS error rate spike",false,0.808,0.8471,0.808,0.621,1,1,conditional,false,"",18
63e142c2-5d47-47cf-a4b3-cab1af9c4749,2026-01-15T05:35:34.000Z,1,splunk,noise,"Alert: unauthorized access attempt",false,1,0.8485,1,0.772,0.691,0.6,human_review_anomaly,true,"",14
b236d718-1796-4174-85ba-8200580e53fe,2026-01-15T16:19:53.000Z,1,aws-cloudwatch,noise,"ECS task stopped unexpectedly",false,0.834,0.8365,0.834,0.788,0.805,1,conditional,false,"",5
99aaf157-3a5f-4d9e-b6e9-c3821aa2bccb,2026-01-15T06:23:33.000Z,1,datadog,noise,"Log volume anomaly on auth-service",false,0.916,0.8726,0.916,0.699,0.839,1,conditional,false,"",16
13ee2bc6-5fdd-4670-9d01-74ef6fab9439,2026-01-15T19:36:49.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",false,0.887,0.872,0.887,0.743,0.868,1,conditional,false,"create_incident",9
a19e08c7-18ea-4862-9fa0-0ba63f029cc2,2026-01-15T09:20:16.000Z,1,splunk,P2,"Scheduled search failure",false,0.78,0.8178,0.78,0.519,1,1,conditional,false,"create_incident;page_oncall",12
1268a27b-cee7-489d-b67d-24cad541238b,2026-01-15T00:22:58.000Z,1,aws-cloudwatch,noise,"S3 bucket access denied anomaly",false,1,0.9095,1,0.735,0.877,0.8,human_review_anomaly,true,"",5
d3ca5249-e528-4710-9dcd-975316e5c04f,2026-01-15T15:20:16.000Z,1,datadog,P2,"APM trace error spike on payment-processor",true,,,,,,,suppressed_by_rule,false,"",4
7fd05f72-7d59-4baa-a53b-4ff2ada4583d,2026-01-15T13:20:32.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",false,0.735,0.7601,0.735,0.607,0.806,1,conditional,false,"create_incident",16
4931457d-dee7-49fd-9736-9d17cfa5e94c,2026-01-15T20:29:26.000Z,1,splunk,P3,"Log ingestion delay exceeding 5 minutes",false,0.811,0.8366,0.811,0.672,0.921,1,conditional,false,"create_incident",9
d36e3910-de86-4cbb-946a-3558a2de8c03,2026-01-15T17:26:49.000Z,1,aws-cloudwatch,noise,"ELB 5xx error rate elevated",false,0.885,0.895,0.885,0.948,0.841,1,conditional,false,"",4
36a82994-6708-4dc7-8232-4c2b77a84301,2026-01-15T14:08:33.000Z,1,datadog,noise,"Database query latency p99 exceeds SLA",false,0.876,0.8497,0.876,0.823,0.753,1,conditional,false,"",5
27a1af82-a79a-4a90-b141-0f3c7d5345b4,2026-01-15T20:28:04.000Z,1,newrelic,P2,"Browser JS error rate spike",false,0.591,0.6559,0.591,0.368,0.821,1,human_review,true,"create_incident (pending_review);page_oncall (pending_review)",8
103e0329-6365-4b61-9e92-c3d6ea2a1d3d,2026-01-15T16:54:41.000Z,1,splunk,P3,"Notable event: data exfiltration pattern",false,0.709,0.7875,0.709,0.667,0.932,1,conditional,false,"create_incident",3
391d652f-8325-4318-8d95-19f9dc1c9eed,2026-01-15T04:48:49.000Z,1,aws-cloudwatch,P3,"SQS dead-letter queue depth increasing",false,0.933,0.8706,0.933,0.844,0.79,0.8,conditional,false,"create_incident",7
82e7758a-66e4-4c26-87bc-134d2e48d429,2026-01-15T05:52:26.000Z,1,datadog,P3,"High latency detected on api-gateway service",false,0.636,0.7148,0.636,0.707,0.843,0.8,conditional,false,"create_incident",7
34ccf25b-0732-4e5d-93f4-d526a4bf06a7,2026-01-15T12:10:05.000Z,1,newrelic,P4,"Infrastructure host not reporting",false,0.799,0.8995,0.799,1,1,1,conditional,false,"",11
3ba67673-27c8-4d17-bce4-12337958112f,2026-01-15T23:04:26.000Z,1,splunk,P4,"Log ingestion delay exceeding 5 minutes",false,0.813,0.8168,0.813,0.605,0.958,0.8,conditional,false,"",18
fd445883-9f5b-43b1-9227-87ff05ebb206,2026-01-15T06:23:23.000Z,1,aws-cloudwatch,P4,"S3 bucket access denied anomaly",true,,,,,,,suppressed_by_rule,false,"",3
b7c1cec0-6d35-4725-b213-49cbdc151c34,2026-01-15T05:13:22.000Z,1,datadog,P2,"High latency detected on api-gateway service",false,0.944,0.8991,0.944,0.749,0.939,0.8,conditional,false,"create_incident;page_oncall",8
61e5e573-aa84-4f2c-a5b9-2ecb1aae4376,2026-01-15T20:34:10.000Z,1,newrelic,noise,"Infrastructure host not reporting",true,,,,,,,suppressed_by_rule,false,"",4
147bcbc8-575a-423c-8f55-23997e97bd49,2026-01-15T03:56:14.000Z,1,splunk,P3,"Index volume spike detected",false,0.834,0.8046,0.834,0.764,0.772,0.8,conditional,false,"create_incident",11
06f17229-6bf6-49cc-9919-9994e928475a,2026-01-15T03:14:32.000Z,1,aws-cloudwatch,P4,"RDS connection count spike on primary-db",false,0.571,0.661,0.571,0.53,0.864,0.8,human_review,true,"",10
7f72fd74-60f2-4932-b677-4bedcdba51f2,2026-01-15T04:58:08.000Z,1,datadog,noise,"Log volume anomaly on auth-service",false,0.781,0.7798,0.781,0.672,0.834,0.8,conditional,false,"",9
5ae8937b-be9e-483b-8ed3-fdeb42b8a963,2026-01-15T13:20:02.000Z,1,newrelic,noise,"Apdex score below threshold on web-frontend",false,0.561,0.6619,0.561,0.758,0.671,1,human_review,true,"",8
046a1077-3e75-4bcb-8e73-a52738c49a2c,2026-01-15T17:46:02.000Z,1,splunk,P3,"Correlation: multi-source outage pattern",false,1,0.964,1,0.76,1,1,human_review_anomaly,true,"create_incident (pending_review)",8
a7b9954a-ed35-42d5-b9bf-7cd2c696cb8c,2026-01-15T11:55:14.000Z,1,aws-cloudwatch,noise,"SQS dead-letter queue depth increasing",false,0.609,0.7308,0.609,0.757,0.851,1,conditional,false,"",14
89944af7-076b-486e-9229-ed507460e249,2026-01-15T06:07:53.000Z,1,datadog,P4,"Memory usage critical on k8s node prod-worker-2",false,0.791,0.8179,0.791,0.758,0.835,1,conditional,false,"",10
6c36c304-408c-430d-b169-cdcb6c6c3e44,2026-01-15T02:29:14.000Z,1,newrelic,P3,"Mobile crash rate increase on iOS app",true,,,,,,,suppressed_by_rule,false,"",4
88bf576e-fedf-4c6c-b485-1f9f22be9b52,2026-01-15T00:34:04.000Z,1,splunk,P4,"Security: failed login attempts exceed threshold",true,,,,,,,suppressed_by_rule,false,"",3
